ID,Nombre,Equipo,Puntaje,Competencias
49814,xffhme,Immortals,89,27
46300,hgzw,100 Thieves,15,28
12646,emy,100 Thieves,91,31
1718,wrnlmr,100 Thieves,10,42
26081,joeczuq,T1,12,4
34709,ibq,Sentinels,74,33
23795,ovhn,Gen.G,62,40
29310,epwbi,T1,34,4
30579,fxirvsv,Gen.G,13,25
4116,xpd,Gen.G,16,23
27430,mjfyj,Sentinels,66,23
24616,wlui,Damwon Gaming,36,38
6443,kfs,Rogue,34,28
15545,vpxqkdo,FlyQuest,39,26
2588,xwkiomn,T1,3,6
27359,sjbawyto,Immortals,0,29
4373,hycv,T1,50,35
6743,pjpfnznz,FlyQuest,39,6
18062,dsx,Sentinels,9,27
40587,ishyad,Immortals,3,3
23961,xoeczxl,Sentinels,94,13
24033,kpjbugg,Immortals,45,39
25113,ibsk,Immortals,81,12
46946,sbtaipio,Sentinels,35,34
29412,pyej,Sentinels,66,26
36901,gftlj,FlyQuest,85,35
6074,vlzdp,Hanwha Life Esports,4,26
35164,lsktnp,Gen.G,65,14
12379,xrjnl,Rogue,20,33
39228,obizyzaz,Hanwha Life Esports,45,34
9713,gkeb,G2 Esports,36,25
40499,ogvg,Hanwha Life Esports,19,22
29774,hdw,Sentinels,62,37
13957,nfve,FlyQuest,1,43
48133,kqmu,Damwon Gaming,32,37
44624,hkxh,G2 Esports,25,23
6217,qoio,Immortals,32,8
16127,aamokynh,Immortals,87,2
4204,yjw,Hanwha Life Esports,39,42
29730,khpadg,Hanwha Life Esports,8,40
24637,mshfdo,T1,3,40
39288,mrkq,Rogue,52,40
40685,vjltyixt,Damwon Gaming,18,40
7713,hvrv,FlyQuest,39,29
16634,pehgnher,Gen.G,27,30
15955,yqws,Cloud9,40,36
10882,aeoym,Rogue,5,29
25705,ksengpth,T1,22,34
44259,nykngq,Damwon Gaming,73,3
12390,qaj,Gen.G,58,17
14536,uhabydz,Rogue,53,2
11679,adxl,Fnatic,32,40
12306,vnfrh,MAD Lions,17,19
48548,qoubahfu,Immortals,43,41
7387,tfhuya,Immortals,61,19
6536,kvlzblk,T1,54,39
33248,qukrxpa,Fnatic,29,18
28873,xwe,FlyQuest,57,33
30434,otnzc,G2 Esports,84,12
43995,klcygvd,FlyQuest,83,15
23921,vuj,MAD Lions,42,35
32857,fbmak,Immortals,55,14
23698,baehjdt,Immortals,47,6
26550,vrmdm,FlyQuest,22,14
40777,keicv,Rogue,24,44
27210,coln,Damwon Gaming,14,2
40919,bkwlw,Gen.G,15,17
16107,eewu,G2 Esports,57,37
21150,xxhdn,100 Thieves,62,45
28364,mogmx,FlyQuest,33,43
46884,tzkypui,Sentinels,59,20
5838,gkzgjy,Sentinels,94,18
3367,fqe,Cloud9,96,1
22095,uuis,Rogue,65,10
27536,hjogehf,Hanwha Life Esports,55,19
7251,kepwzr,Damwon Gaming,94,31
35746,cnesofu,Immortals,4,44
20213,ixm,MAD Lions,66,35
38198,ksixd,MAD Lions,45,23
6977,zvyy,Cloud9,67,43
4009,hlmwlsvw,100 Thieves,11,44
4654,xay,G2 Esports,44,4
136,eqfif,Immortals,85,24
11692,wqee,MAD Lions,46,15
9370,uauosspi,100 Thieves,80,38
35119,dltzqyrp,G2 Esports,88,6
44096,ooxikt,FlyQuest,62,9
33856,ydbrlxg,Damwon Gaming,1,29
9773,hydsere,Sentinels,26,7
36227,vxiplff,Hanwha Life Esports,82,33
31664,jwsxymqb,Immortals,44,8
36588,vlfe,Sentinels,18,38
43377,npajomdh,T1,98,16
17227,obnfnwf,Immortals,10,32
10777,ywcrbrxl,T1,61,6
4505,rtfkhuz,100 Thieves,88,35
14708,trqljuw,G2 Esports,83,33
3980,ddpdfnw,Fnatic,96,32
37912,ssbxv,Cloud9,64,7
10671,iit,Fnatic,100,13
49617,rghtfjq,Cloud9,49,40
26212,pblemm,100 Thieves,15,16
26711,ojtjkz,Immortals,87,5
38012,nwiwmish,Fnatic,44,27
29279,eswfjc,MAD Lions,72,18
44021,xdupdbi,FlyQuest,80,33
23815,ggdc,Damwon Gaming,12,42
17649,jtytphux,G2 Esports,89,34
41246,fncah,Fnatic,53,20
31889,lcwqjba,Immortals,36,6
46180,hjx,Damwon Gaming,10,8
33664,hfnojtpg,Cloud9,73,22
12786,esixlia,Hanwha Life Esports,55,15
8390,wjyh,Gen.G,28,9
43244,kxmceg,Hanwha Life Esports,23,30
7862,pvj,Damwon Gaming,74,15
41222,gwzqef,100 Thieves,91,27
14742,znsfz,G2 Esports,21,33
43943,hbqcf,Fnatic,14,19
47463,jzau,100 Thieves,20,9
30818,jdi,100 Thieves,81,42
31866,cqt,Fnatic,96,10
18281,swszc,Cloud9,13,27
31471,kgsfrv,Sentinels,82,3
17797,lqmndbl,Fnatic,53,26
37707,bfsjgpo,Rogue,23,29
25257,fimdoe,Sentinels,73,3
41158,hffhx,Damwon Gaming,77,15
4722,yeczrogd,G2 Esports,5,38
1777,mdghu,Rogue,23,3
43872,fhu,Immortals,31,27
10736,ctvgan,MAD Lions,17,22
44741,vty,100 Thieves,71,37
4484,hek,Cloud9,84,35
27045,wvuclc,Immortals,5,42
44859,hesm,Sentinels,53,25
48597,btwj,FlyQuest,39,12
18264,pfdpeqz,MAD Lions,77,43
8744,pntqfqff,Gen.G,11,13
2037,oqme,Rogue,59,27
14891,tys,Hanwha Life Esports,91,21
21233,najpu,Hanwha Life Esports,5,18
34700,rkxyt,Gen.G,79,28
18210,flii,MAD Lions,30,7
17682,ziho,Damwon Gaming,51,18
9375,tgjja,Damwon Gaming,15,2
10520,pxfmr,Damwon Gaming,42,45
6844,cvcsbmk,Cloud9,92,24
41170,ftqqq,MAD Lions,61,33
3320,ctjlbhy,Immortals,7,9
9591,hxeokop,FlyQuest,5,34
12268,hcodnv,Hanwha Life Esports,44,25
6980,qcvqadu,Rogue,70,5
6032,fae,Hanwha Life Esports,59,5
31918,fhmawsnt,G2 Esports,1,5
29178,lgvkews,Hanwha Life Esports,28,29
33498,sswwlas,Gen.G,7,27
42555,dcxxehmq,FlyQuest,50,24
7982,cjjkpp,Rogue,48,14
31929,uvu,T1,11,8
5438,chzy,FlyQuest,86,28
12476,dgbjcwag,T1,99,34
19285,idjpsgx,100 Thieves,14,24
5847,xfiqa,Hanwha Life Esports,16,32
3606,xfrel,Damwon Gaming,87,43
43388,acbr,MAD Lions,51,13
15924,nthg,Fnatic,84,21
27584,akzc,T1,74,10
12770,rildx,Cloud9,38,16
38332,rlset,Fnatic,71,7
29382,eknoa,T1,67,14
47401,dmrq,T1,76,36
32486,gtxexvyz,Cloud9,93,5
26634,musmaebe,G2 Esports,22,21
8258,ogwuijva,Gen.G,72,33
25984,ulok,Rogue,72,5
34625,akbfo,Gen.G,8,28
40628,ahyfx,FlyQuest,18,11
34961,qdo,Immortals,67,21
35820,ostxbvv,Fnatic,74,12
27593,kttw,T1,69,18
24246,spthww,Rogue,45,33
66,uujfauj,MAD Lions,73,39
37692,fklqqx,Cloud9,82,14
43806,kpuhxt,G2 Esports,9,5
41161,cwm,Rogue,52,33
16170,uzh,Rogue,26,38
27610,hsluj,Rogue,65,36
22885,qhxnatrr,Gen.G,53,33
12652,eqytbtr,FlyQuest,100,11
20571,jqknv,Gen.G,3,33
36657,ulsk,Gen.G,15,39
25513,qkc,Cloud9,45,17
3421,osew,G2 Esports,87,9
22127,hcfz,T1,40,28
32601,gbg,Rogue,52,26
24870,bwtd,MAD Lions,51,45
33423,scyc,T1,12,20
49721,qsfwuesu,FlyQuest,0,15
18380,dnk,MAD Lions,88,12
10551,mmz,T1,35,10
28602,dsl,Sentinels,4,15
33820,tmbs,Sentinels,74,43
3954,liyyxkzr,Cloud9,34,28
26781,qdneey,Rogue,49,9
24245,lxdowz,Rogue,46,25
26303,lisxe,Fnatic,66,31
21124,axko,Fnatic,47,16
44608,vqubjrcr,T1,58,16
36618,fqfi,Immortals,99,35
13341,wni,MAD Lions,76,42
11946,hkfmbj,Damwon Gaming,83,28
20361,svy,Hanwha Life Esports,23,4
42840,rbzcke,MAD Lions,84,31
833,nsnnlrl,Fnatic,53,41
26738,kukhdcv,Gen.G,87,24
1761,mnamj,100 Thieves,60,24
20591,kdheok,T1,0,1
14674,zxou,Rogue,11,42
30517,vcvpv,T1,15,12
26885,zlcy,Damwon Gaming,79,25
35669,vmpgs,FlyQuest,95,15
42302,pfxldw,Cloud9,47,45
28823,lucrrpx,MAD Lions,7,5
47057,hgzv,Immortals,46,21
15814,hfvz,FlyQuest,35,29
30774,lcasna,Fnatic,27,25
1154,qwrki,FlyQuest,55,10
17500,uzo,G2 Esports,4,28
14321,plky,Rogue,70,5
18075,pxizavr,MAD Lions,24,16
1562,ejgm,Gen.G,76,44
47437,mihp,FlyQuest,76,31
26412,cizv,Damwon Gaming,56,24
42380,jpd,Rogue,23,6
321,sybay,Cloud9,75,38
19014,cysdl,Hanwha Life Esports,72,28
3403,mlcxv,MAD Lions,29,36
31281,zbvzvvx,FlyQuest,2,12
15265,zdktpsyw,Damwon Gaming,42,25
3972,kwumwj,100 Thieves,67,31
40510,vkevo,MAD Lions,79,8
26768,qvqfug,FlyQuest,13,11
29644,sbgrhz,FlyQuest,100,3
3929,bexdnlj,Fnatic,30,19
30404,ngnf,G2 Esports,14,8
24257,cgubemps,MAD Lions,91,29
30330,bqxyr,G2 Esports,0,10
20551,eqr,Sentinels,67,4
29021,intq,Damwon Gaming,29,17
31406,uaqxhqyo,Gen.G,49,28
28494,wscjr,Fnatic,17,13
39547,hirsgld,Sentinels,12,44
39123,tskx,Rogue,30,29
32517,ghli,T1,76,17
15369,rhche,Gen.G,72,36
12067,wje,Fnatic,32,7
29380,ylp,FlyQuest,94,43
13267,kdo,Fnatic,13,33
16000,kggzlbx,Hanwha Life Esports,88,17
29663,sajtkwnc,MAD Lions,38,31
40088,czfbpm,100 Thieves,72,15
22557,xrxwifv,Hanwha Life Esports,76,21
20802,xpudkled,Hanwha Life Esports,99,26
47744,ruqqizb,Damwon Gaming,24,23
8942,chncyfmi,Fnatic,0,37
20378,pit,Gen.G,74,20
49886,lcow,T1,64,5
8459,vbghktb,T1,16,37
47981,qcrpahaz,Cloud9,52,8
15707,aum,MAD Lions,97,12
22327,xglmm,Immortals,20,35
36325,dad,Immortals,7,33
21514,pjkq,Gen.G,52,24
27986,muq,MAD Lions,59,21
47604,oigot,Fnatic,4,28
16928,czeyadp,FlyQuest,64,7
2932,llhdg,Sentinels,28,18
9384,chnpz,100 Thieves,10,25
6645,jspdlwn,Hanwha Life Esports,35,9
42014,rszg,T1,37,34
26833,bpwq,T1,25,43
5579,vmbyqn,Sentinels,9,17
36413,bnc,Fnatic,86,36
46992,zmjozr,Hanwha Life Esports,91,25
17030,rpk,Hanwha Life Esports,46,26
993,bysoh,Sentinels,16,7
22267,ucf,Cloud9,72,4
44138,nvxxqwsu,Damwon Gaming,11,3
37671,obp,G2 Esports,38,38
1851,cos,Sentinels,87,18
44340,zhjx,MAD Lions,92,4
10812,zgfd,Rogue,86,20
28836,eao,Damwon Gaming,90,25
48579,fwnivnpk,100 Thieves,34,24
22300,uhiaehq,T1,51,3
6068,xyublzek,Damwon Gaming,27,23
48658,ccbsobg,Damwon Gaming,95,45
28287,hvqk,Cloud9,92,16
44424,pigy,MAD Lions,78,1
44992,wcske,Cloud9,90,15
3969,zvbypxx,Fnatic,47,11
34129,njliqg,MAD Lions,26,3
12512,btjcryx,Cloud9,50,35
22442,jenl,MAD Lions,92,33
34161,lrf,MAD Lions,79,36
27265,oecd,Rogue,61,25
23392,zmk,Hanwha Life Esports,82,2
40299,xbnkbu,Cloud9,30,42
12429,ahib,Hanwha Life Esports,9,8
31903,lbnf,Fnatic,60,41
23285,osz,100 Thieves,85,7
42998,tecnypyi,Immortals,9,38
4906,pwjvc,Immortals,0,37
28125,ojqtoob,MAD Lions,80,9
3823,ogxuqkc,G2 Esports,85,10
34367,ytneqopq,FlyQuest,3,11
42463,kwk,Fnatic,39,8
5820,ufot,G2 Esports,4,12
45766,xamzht,100 Thieves,12,36
17236,ocgkgws,Damwon Gaming,44,34
5857,oaltbg,Fnatic,48,34
20861,akhj,Sentinels,36,23
34570,amq,FlyQuest,80,45
37639,qdsg,G2 Esports,13,39
12428,vqaq,T1,97,20
21867,ziym,Sentinels,78,1
48362,togowb,Fnatic,54,43
39583,cvocpzn,T1,4,24
6584,ths,Sentinels,22,9
17300,zbpmu,Rogue,64,39
35587,micvlu,G2 Esports,77,37
6628,sdje,Fnatic,23,41
28183,fbm,T1,88,34
45642,neyfh,Hanwha Life Esports,15,16
4401,xzpadnh,FlyQuest,85,4
8601,adegnz,Gen.G,78,13
11943,cne,Cloud9,13,36
36055,tldueh,MAD Lions,63,43
5392,hql,Hanwha Life Esports,7,7
2503,ksq,Hanwha Life Esports,50,32
46850,jximxp,MAD Lions,21,7
10633,qqiijbw,Rogue,77,6
39272,mhr,100 Thieves,29,22
3111,mlcql,G2 Esports,90,39
4100,eim,MAD Lions,31,27
12010,xxcf,T1,94,32
5320,ywjy,Immortals,91,5
28705,vbj,MAD Lions,10,27
31341,lrco,Cloud9,98,1
35733,pcnsv,100 Thieves,12,12
5563,okn,FlyQuest,98,3
36154,qzikr,Rogue,42,43
47460,fkttfkx,Gen.G,72,28
20450,epcdlsn,G2 Esports,72,37
38643,ptbyf,Fnatic,96,17
1243,bgino,T1,37,2
27470,xzhnvxs,Rogue,65,23
19152,okuz,100 Thieves,66,15
47002,avrsopdm,MAD Lions,50,1
3725,vwmvuj,T1,75,28
15390,jwhmtidi,Damwon Gaming,68,23
8295,bwwqoqf,Sentinels,84,24
45992,rtphdxo,Cloud9,27,20
34865,chj,G2 Esports,9,7
34940,qwwtm,Fnatic,70,17
41004,hwqgjx,Hanwha Life Esports,95,39
42287,zgvw,100 Thieves,8,10
35392,arxlaxho,100 Thieves,66,45
22345,nvkitesj,Sentinels,47,10
19867,shxsztjw,Cloud9,64,28
30076,iilokyr,G2 Esports,96,17
29637,oezobkt,T1,61,25
34108,bku,Gen.G,22,19
42620,fprxj,G2 Esports,19,18
44962,bivr,G2 Esports,78,22
22849,ttm,Fnatic,16,41
13073,pbxe,MAD Lions,79,10
41812,jrikxy,G2 Esports,91,7
15806,dehvcnbf,T1,31,40
2563,nadujats,Fnatic,45,3
14433,kjrbj,Rogue,82,18
40361,ktgeykd,Cloud9,0,25
23573,uhxiumfn,Hanwha Life Esports,1,41
9941,anziq,Cloud9,10,2
42750,magpe,Rogue,49,12
7616,jswnppyh,100 Thieves,7,45
1849,jvzvk,MAD Lions,35,22
23319,ujxmd,Sentinels,78,7
45041,ugikfdg,Gen.G,11,15
46395,pasgvjwp,Gen.G,97,26
46120,ajymvuc,G2 Esports,69,42
48083,mkv,Fnatic,9,7
44661,rtgi,Sentinels,70,16
1046,umuebgd,100 Thieves,73,9
14724,mypde,Rogue,50,45
37047,zwgr,Sentinels,82,3
21710,lckouud,Hanwha Life Esports,46,14
49666,kwjpj,FlyQuest,91,3
33825,ctkhpgwc,T1,13,41
9298,tpnqmxjg,Hanwha Life Esports,52,22
9256,cxkf,Immortals,46,4
18140,wtzz,Hanwha Life Esports,24,7
18937,plf,Fnatic,50,6
1531,ulrv,Rogue,50,22
37999,yvv,Fnatic,94,40
2439,iyvsu,Fnatic,76,12
41994,tvuyscp,G2 Esports,75,24
35967,wxsdbgfx,Sentinels,10,21
5262,uupibvn,Immortals,25,16
5377,rcdvxrnb,Fnatic,46,4
5214,sgjcxbcv,FlyQuest,20,12
33457,gfvdkt,FlyQuest,11,21
37828,ucxlc,MAD Lions,88,4
5585,hdurgyok,Gen.G,15,26
6804,yju,Damwon Gaming,48,40
7060,hhppg,G2 Esports,52,29
31578,zaoscbqa,MAD Lions,56,15
15748,awomdi,Sentinels,40,23
36249,savfwrf,FlyQuest,7,7
49081,shsfpu,MAD Lions,93,8
30198,cln,100 Thieves,87,30
25210,uhugrdi,Fnatic,79,25
44713,paiqtctv,Rogue,36,44
4037,ifkswmv,Cloud9,51,6
36445,uohe,G2 Esports,65,32
9419,twdednt,Rogue,79,34
25296,jojnng,MAD Lions,10,36
25582,oojbg,Immortals,84,35
31633,tkjvd,Cloud9,1,10
7979,rnxlsieg,Cloud9,33,4
19276,nvwflj,Hanwha Life Esports,65,30
27207,eiyj,100 Thieves,20,13
22918,xjr,100 Thieves,13,8
45213,gynium,T1,3,15
20123,jrx,FlyQuest,33,5
7300,ppqh,FlyQuest,46,1
996,amwdk,Hanwha Life Esports,64,42
11483,tttz,Fnatic,27,37
25887,oxr,T1,7,42
45466,hzsvcc,Hanwha Life Esports,3,15
29317,enltik,Damwon Gaming,77,37
36466,bbpc,Fnatic,45,5
41791,dhiias,Fnatic,88,33
37023,tlaylrp,Gen.G,25,39
26715,ocwzu,Damwon Gaming,100,15
22778,ghlr,Fnatic,90,12
36888,ciqg,MAD Lions,78,30
19848,zcvk,Immortals,64,36
1547,wpewk,MAD Lions,73,16
6408,ftlxscmo,Hanwha Life Esports,41,6
4516,wcssw,FlyQuest,28,45
19584,oon,FlyQuest,21,14
39504,sdeksbvc,Immortals,65,6
26374,mdq,Damwon Gaming,5,36
21709,okjsbv,100 Thieves,31,9
18522,xibnhcg,Rogue,7,19
48447,kxvugm,100 Thieves,51,27
38396,dzbe,Cloud9,7,24
49132,rjdmsue,G2 Esports,26,18
22471,ecxga,Rogue,24,17
18149,oiiazmx,Rogue,43,39
12196,dig,Hanwha Life Esports,13,18
683,kkllm,T1,83,2
14097,zlcew,Cloud9,6,23
16591,edt,Sentinels,65,16
18068,suufrkkj,Fnatic,19,17
48774,tuhvbkn,Fnatic,73,21
33833,whvm,Fnatic,29,40
45918,zrycsvsz,Sentinels,10,19
41319,fvtvp,Cloud9,60,36
9664,abcdj,T1,96,37
6494,uquwudh,Fnatic,85,33
43776,pygly,Damwon Gaming,14,41
9741,thb,Fnatic,94,44
40921,fmadbzxv,Hanwha Life Esports,78,36
5365,umpvw,FlyQuest,39,9
33683,zrzj,Sentinels,23,35
155,advzhpp,Fnatic,56,9
4590,qdohxuxw,Damwon Gaming,35,9
28884,vsc,Damwon Gaming,55,9
7013,bolwn,Hanwha Life Esports,79,22
37147,pys,G2 Esports,65,37
10351,qmgvirq,G2 Esports,30,23
4498,cfc,Hanwha Life Esports,96,29
17206,qprnq,FlyQuest,41,26
7070,umasqos,Fnatic,45,12
5515,vpksv,Gen.G,35,38
34711,nyqzjt,Damwon Gaming,63,2
17034,mlpbfc,T1,16,6
23021,mnsn,Immortals,55,7
27116,yjzgzzbj,Cloud9,62,19
36733,slrl,Sentinels,14,34
2309,umufbp,Damwon Gaming,77,28
3820,cdhniarn,100 Thieves,97,8
32201,hyklr,Sentinels,15,29
10734,ujszbml,Hanwha Life Esports,80,5
16227,kuma,Sentinels,28,29
26785,yidesclu,100 Thieves,49,39
43981,txdsab,G2 Esports,71,20
8422,arfq,Immortals,42,10
44732,rfqvil,T1,14,24
49234,tdhlqqz,FlyQuest,59,23
29747,ubxhzom,Sentinels,81,6
24731,yih,100 Thieves,50,22
48647,uattjbuf,Damwon Gaming,38,30
35618,wpirb,Rogue,79,35
34568,aab,Cloud9,100,9
14525,sxoovr,G2 Esports,92,14
38722,upayse,MAD Lions,95,35
509,xyngduq,Rogue,78,4
26759,qrnrg,G2 Esports,37,2
44086,tprufeud,Sentinels,39,16
3648,oxdxcnhb,Damwon Gaming,49,23
23410,uebdsdly,MAD Lions,29,19
10274,zmudsgwo,Sentinels,77,29
20429,jpkps,FlyQuest,80,24
41294,tvvxt,G2 Esports,26,17
39984,kjg,Cloud9,91,43
30337,bhvxolqn,Immortals,49,45
49689,tozixud,Sentinels,58,29
47696,uivwvauy,MAD Lions,27,39
13469,kdbsxt,Hanwha Life Esports,28,28
32303,shkt,Sentinels,53,24
34680,pna,Gen.G,46,2
49908,umqlp,Damwon Gaming,73,33
14492,zsocs,Immortals,70,14
34137,ixne,Rogue,17,27
17887,szqdt,T1,18,39
32094,sjszgrpw,G2 Esports,78,29
41522,gjjtyzkz,Fnatic,93,38
1686,idkacjg,Cloud9,23,15
25227,dwv,MAD Lions,100,39
23980,mbcifhm,100 Thieves,45,23
8133,eaipxyx,Hanwha Life Esports,44,45
21931,okbqcrfs,MAD Lions,36,2
42194,eracgmxh,T1,36,17
45873,zzjosjh,Cloud9,47,41
22844,jffv,Cloud9,79,15
20089,jem,MAD Lions,39,13
2513,vli,100 Thieves,30,26
13398,mfst,Rogue,37,38
30126,syjypxzn,100 Thieves,6,42
41993,gcn,FlyQuest,13,15
208,guh,G2 Esports,68,6
5136,knwfa,T1,9,4
47770,imtsj,T1,31,13
35110,rdvfvb,MAD Lions,77,11
26340,nxz,G2 Esports,77,33
2360,pyjkndk,G2 Esports,70,43
15457,xruk,Rogue,38,2
39987,jetuq,Hanwha Life Esports,25,41
13342,wqbgdt,Sentinels,33,2
49054,usb,Cloud9,73,31
34325,rwesex,FlyQuest,10,12
569,pxlglw,FlyQuest,54,33
44753,meazrch,Gen.G,0,1
8196,munzzy,Cloud9,64,23
43375,qgym,Immortals,64,24
26264,rbkamom,100 Thieves,12,10
3531,hzc,G2 Esports,40,14
20463,xoiijk,FlyQuest,37,16
1351,jpu,G2 Esports,48,42
13093,kch,T1,51,7
44930,rouj,FlyQuest,48,35
9071,sznwnh,Fnatic,9,10
8172,qbboufz,G2 Esports,7,16
29616,gcnf,G2 Esports,56,1
5832,oyvwxi,Gen.G,55,18
8523,etshssc,Sentinels,64,30
18576,qzs,Hanwha Life Esports,8,5
9738,wmxdwhog,Sentinels,18,28
7466,dtqy,T1,24,10
235,vjcczt,Sentinels,96,16
10150,riou,MAD Lions,73,40
37437,yoyqlvw,Rogue,27,1
13050,yfvzgvnm,Rogue,1,9
18200,flxmx,Sentinels,32,13
41242,qpoote,G2 Esports,45,41
29014,eugs,Sentinels,22,34
15048,ugqaw,Immortals,53,20
6679,bruauwq,FlyQuest,58,35
4592,agpxhimp,Gen.G,69,30
43989,tazaahh,100 Thieves,26,2
27712,wnyraepx,Fnatic,76,28
